VARIABLES= "X", "Y", "Z","P"
3.5061 5.25973 1.85874 0.0533177
3.20261 5.24841 2.33917 0.0693463
5.02466 6.33381 4.322 0.00595429
3.23109 4.95344 2.59983 0.0803627
3.12135 4.73336 2.14615 0.0925124
3.20331 4.35716 1.53125 0.0978923
3.84312 5.80413 2.72305 0.0298219
3.94948 5.4681 2.9902 0.0291374
3.40633 5.45881 3.00063 0.0216911
3.49194 5.21674 2.1386 0.0591869
4.26768 5.21413 2.79722 0.0315679
3.91503 4.60953 1.20443 0.0408493
4.0174 4.15999 1.88617 0.0629409
3.48922 5.76775 2.17493 0.0374585
5.93374 4.98896 1.77466 0.00702017
6.03857 4.53605 1.66101 0.00532811
6.29407 4.59174 1.82109 0.00504528
5.81132 4.1746 2.08888 0.00905845
5.95021 4.47814 2.33737 0.00920528
5.83203 4.24008 1.86444 0.00951995
5.73568 3.53387 1.32767 0.00836674
5.21994 3.43471 1.15854 0.0117418
5.41623 3.21895 1.27304 0.0100929
5.34741 3.30513 1.71494 0.0131803
5.60686 3.6381 1.22608 0.00937346
4.80058 4.3257 2.50765 0.0352761
4.35713 4.85743 2.39277 0.0359325
4.05517 5.00697 3.59227 0.0433962
4.1029 4.43689 3.72085 0.0497481
4.17445 4.85717 3.69382 0.0413643
4.04329 4.87301 1.3083 0.0334221
4.54598 4.9294 1.25759 0.0208362
4.69189 6.64504 4.28857 0.00346208
5.64729 4.17872 3.05802 0.0121561
5.94714 3.08518 3.36863 0.00705448
5.2801 3.68433 3.88201 0.0131524
2.09024 6.19933 0.999812 8.77744e-008
2.83813 5.59757 0.974051 0.0272557
6.12929 3.64735 3.70044 0.00508291
5.72121 3.67089 4.01876 0.00845908
5.73416 3.95333 3.92851 0.00912823
6.53383 5.34766 4.93171 0.000497415
5.73647 3.84555 3.30697 0.0105303
3.18493 4.5495 2.82724 0.108725
2.40844 4.22106 1.47699 0.257779
2.87168 4.70514 3.1371 0.12548
5.49546 6.93143 2.17129 0.00126633
2.7475 4.9061 2.88978 0.142723
2.977 5.16489 2.61637 0.0843007
2.73045 3.65085 2.2521 0.20479
2.51335 3.78841 2.45158 0.195097
2.80484 3.38004 2.69528 0.1602
3.39261 5.14196 0.581223 0.0234321
2.94428 3.61888 2.68833 0.136283
2.64688 3.63863 2.7851 0.16623
2.50375 3.79461 2.61656 0.18579
2.57515 4.46085 2.7495 0.166092
4.15953 6.19043 3.81826 0.015838
4.10698 6.20068 3.49635 0.0175704
4.10234 6.39149 3.55154 0.0134929
4.05516 5.77613 3.56452 0.0263206
4.3755 5.80547 3.37807 0.022186
4.36218 5.98449 3.61533 0.0173456
5.39344 3.52073 2.575 0.0138604
5.19013 3.48964 2.24353 0.0186043
5.73449 3.4821 2.41047 0.0112256
5.14184 3.07109 2.34055 0.0167647
5.76645 3.62229 2.06675 0.0101389
5.35635 3.40154 2.00495 0.0146718
5.641 2.91218 2.53475 0.00893366
5.61363 3.09247 2.64669 0.0105006
3.30467 3.19609 3.6471 0.0913113
3.01101 3.37101 3.76534 0.126775
3.52912 3.77131 3.81988 0.0885592
3.24208 3.75937 3.60679 0.118815
2.98372 3.56958 3.83096 0.134429
4.05333 3.59397 4.13705 0.041323
3.9269 3.46802 4.11504 0.0454718
3.92239 3.96263 3.93238 0.0518799
3.99875 3.63852 3.7323 0.0509002
3.61629 3.45514 3.88562 0.0690762
2.58441 2.25991 0.114691 0.0204784
3.51168 3.63033 3.96617 0.0806469
3.42547 4.49003 2.88405 0.090423
3.59985 4.54861 3.2353 0.0768733
3.22001 3.82114 3.04517 0.114374
5.82381 6.34333 1.39434 0.00244906
5.15211 6.33999 2.37346 0.00590571
3.24729 4.27487 2.66781 0.105375
3.83241 3.72871 1.8911 0.0698498
3.85253 3.6619 2.14187 0.0735521
2.50886 3.55712 4.93819 0.299536
3.81495 3.23647 1.9619 0.0696064
4.24612 3.56155 2.2104 0.050995
4.06341 3.73892 2.17844 0.063516
3.82073 3.32758 1.74867 0.0677312
3.98948 3.09266 2.0121 0.0555219
3.45674 3.0251 2.04839 0.0934047
5.38453 6.59127 1.93025 0.00342085
3.26673 3.46334 1.87161 0.124146
3.06072 4.356 4.3434 0.113539
2.77424 4.41083 4.14902 0.143301
6.61576 5.38773 1.40126 0.00177485
2.81543 4.33029 3.92316 0.144545
3.07032 3.88797 4.07786 0.119166
3.41427 2.082 3.23917 0.0215166
2.87332 3.91361 4.11313 0.15323
2.67828 4.17949 4.11283 0.161915
2.83449 3.32162 3.01596 0.140612
3.29275 3.74583 2.75669 0.117623
2.88514 3.67937 3.08351 0.14931
5.33101 5.99058 1.01432 0.00473773
2.86879 3.27177 2.83335 0.140864
2.85312 3.75078 2.60347 0.144592
2.82405 3.5707 2.77889 0.15612
4.8733 5.23731 3.3185 0.020731
3.63906 4.8908 2.40601 0.0669351
4.62856 3.46546 1.97841 0.0342548
4.38767 5.37086 2.43148 0.0267048
4.88643 5.38818 0.325861 0.00285457
4.47271 4.83602 2.65721 0.0370093
5.203 5.30598 2.61637 0.014348
4.76777 5.41091 2.44878 0.0204773
4.3815 5.5282 2.73121 0.024507
4.36996 3.80175 2.43921 0.0471982
4.80057 4.01829 2.37011 0.03046
5.64729 3.90572 1.65046 0.0120066
4.67458 3.85956 2.70969 0.0337802
4.85363 5.34593 2.93626 0.019447
4.73388 5.01232 3.66382 0.0228454
5.23421 4.85185 3.83258 0.0142325
4.51286 4.5643 3.41592 0.0344901
4.47441 4.60756 3.64146 0.0348383
5.02316 4.38582 3.56918 0.0203075
4.65249 5.59604 3.12254 0.0193875
3.47724 5.6269 2.64734 0.0400378
4.31651 5.20725 2.30011 0.030224
6.1801 2.06474 2.37704 2.20807e-008
4.18091 5.59668 2.17582 0.0278752
5.24875 4.71227 3.99541 0.0133847
5.20855 5.23892 3.37524 0.0142203
3.32414 3.84046 2.00043 0.106922
5.00276 4.06453 2.93008 0.0241203
5.20483 5.13205 3.04071 0.0176168
6.93933 2.63698 2.53797 0.000305253
4.71117 5.11748 2.34558 0.0228633
4.83189 5.15478 2.96928 0.0217708
4.93748 4.71926 3.33433 0.0222213
4.61715 5.28264 2.46388 0.0222067
4.02684 4.9529 3.38997 0.0490575
4.09802 5.23356 3.5449 0.0373739
5.82067 5.55267 1.28366 0.00529575
5.24905 5.60669 2.18732 0.0126103
4.21652 5.95807 1.66141 0.0165149
4.01525 5.65432 1.44132 0.025429
4.36327 5.47174 1.7466 0.0242896
3.70281 5.68041 1.58906 0.0325489
