VARIABLES= "X", "Y", "Z","T"
1.2893 1.45609 0.245366 16.6788
1.31886 1.41854 0.19403 13.8834
1.22781 1.34899 0.3623 16.831
1.25137 1.39799 0.150793 19.9427
1.23315 1.41864 0.305891 17.5403
1.40205 1.43676 0.205908 11.2115
1.60167 1.26631 0.713701 5.94735
1.7132 1.20458 0.745276 3.18806
1.67173 1.20845 0.723702 3.55312
1.69717 1.3587 0.734421 4.36724
1.74962 1.30642 0.743038 2.72476
1.74761 1.25499 0.660122 2.87265
1.65487 1.31746 0.741158 5.23487
1.65839 1.26963 0.768474 4.60953
1.75081 1.22033 0.723708 2.48839
1.49231 1.22243 0.716529 8.21768
1.47159 1.24942 0.7336 9.46466
1.60255 1.27397 0.66706 6.44192
1.56615 1.42115 0.705283 7.51467
1.61356 1.4612 0.753767 5.52532
1.69624 1.38659 0.810823 3.85099
1.97754 1.95229 0.670552 0.21792
1.56667 1.33989 0.726528 6.87774
1.71388 1.5297 0.602106 4.41173
1.31513 1.72186 0.720789 17.6442
1.04153 1.24553 0.957238 180.866
1.34065 1.6172 0.73131 16.0674
1.27857 1.72655 0.78533 20.9679
1.29328 1.98309 0.983492 4.10009
1.29664 1.60157 0.775804 17.5583
1.33988 1.7022 0.68837 16.0991
1.39646 1.66974 0.676507 12.856
1.29885 1.66751 0.625968 17.385
1.33607 1.98255 0.518158 5.68319
1.2922 1.64508 0.794222 18.4242
1.92481 1.97515 0.977445 0.0733244
1.42759 1.64829 0.25085 12.0849
1.31092 1.57281 0.240111 17.5776
1.41002 1.61703 0.984291 3.07647
1.29897 1.51976 0.290049 16.3609
1.32164 1.65657 0.416184 15.4126
1.41356 1.34908 0.395415 11.4742
1.47474 1.4236 0.298693 8.98158
1.35687 1.55198 0.708931 14.5055
1.34929 1.32019 0.619678 14.7604
1.359 1.40645 0.659314 15.052
1.94535 1.88803 0.7251 0.506591
1.84822 1.91321 0.694121 0.955317
1.28212 1.33316 0.518255 16.1441
1.25336 1.51034 0.637071 17.5436
1.36514 1.33576 0.486461 13.5788
1.90602 1.95498 0.753444 0.379009
1.36619 1.38437 0.507674 13.2967
1.81646 1.59863 0.261624 2.10122
1.61911 1.45747 0.438168 6.35254
1.46017 1.3768 0.36982 8.89733
1.23577 1.37725 0.626228 18.1199
1.3327 1.39582 0.538256 14.7144
