VARIABLES= "X", "Y", "Z","T"
1.41126 2 0.621749 4.20483
1.16567 2 0.928522 46.4975
1.83133 2 0.424912 0.665492
1.80769 2 0.499517 0.67699
1.74934 2 0.445637 0.832663
1.34133 2 0.366164 6.38926
1.83415 2 0.0716821 0.25261
1.87768 2 0.504588 0.46167
1.74462 2 0.535291 0.797949
1.66682 2 0.472881 1.44244
1.28343 2 0.214846 10.4564
1.0586 2 0.494939 1
1.39118 2 0.533042 4.8494
1.30156 2 0.52949 10.0607
1.49748 2 0.58797 2.71638
1.66218 2 0.568374 1.34522
1.74752 2 0.641217 0.858415
1.65013 2 0.661332 1.18566
1.82766 2 0.577981 0.582276
1.17812 2 0.417113 24.9866
1.09077 2 0.385582 1
1.48067 2 0.172451 2.55517
1.80207 2 0.842832 0.503998
1.70611 2 0.794594 1.24218
1.78838 2 0.747358 0.587094
1.54812 2 0.241567 1.77398
1.47372 2 0.493029 3.14196
1.56751 2 0.503295 2.14985
1.18477 2 0.339242 19.2512
1.26949 2 0.302818 11.2377
1.28968 2 0.710317 9.5449
1.26271 2 0.802708 12.0149
1.73677 2 0.197186 0.783668
1.24345 2 0.894178 15.7107
1.3504 2 0.776957 6.52526
1.68046 2 0.380295 1.21683
1.24981 2 0.571342 13.6814
1.23169 2 0.648856 15.2565
1.50402 2 0.0553853 1.29096
1.75564 2 0.10684 0.47026
1.32076 2 0.613989 7.66248
1.58983 2 0.601101 1.74774
1.43129 2 0.343299 3.49089
1.41211 2 0.431337 4.65184
1.55657 2 0.677021 1.85705
1.12478 2 0.291822 48.2713
1.70482 2 0.719755 0.931658
1.77077 2 0.355414 0.848779
1.14301 2 0.668748 52.7783
1.85672 2 0.333174 0.497975
2 1 0.111111 0.103451
2 1 0.222222 0.141656
2 1 0.333333 0.180294
2 1 0.444444 0.157291
2 1 0.555556 0.191017
2 1 0.666667 0.191921
2 1 0.777778 0.145951
2 1 0.888889 0.0975694
2 1 1 0.0595977
2 1.11111 1 0.139761
2 1.22222 1 0.166746
2 1.33333 1 0.197729
2 1.44444 1 0.212989
2 1.55556 1 0.191365
2 1.66667 1 0.243269
2 1.77778 1 0.164802
2 1.88889 1 0.116248
2 1.58729 0.907699 0.315044
2 1.67991 0.851925 0.502553
2 1.59743 0.81899 0.423597
2 1.91201 0.091777 0.192119
2 1.0903 0.912783 0.177028
2 1.08554 0.0855425 0.109346
2 1.90884 0.900268 0.211527
2 1.79508 0.0947756 0.293981
2 1.70734 0.0601332 0.241159
2 1.68329 0.137671 0.364239
2 1.17399 0.851882 0.407446
2 1.16856 0.932874 0.272993
2 1.24518 0.899706 0.262486
2 1.40326 0.920498 0.323139
2 1.30801 0.934333 0.265416
2 1.49501 0.944513 0.345217
2 1.3309 0.861089 0.432614
2 1.26315 0.808151 0.454574
2 1.05699 0.709702 0.253543
2 1.16243 0.162044 0.253686
2 1.07171 0.165764 0.188379
2 1.10698 0.243919 0.252967
2 1.08102 0.406957 0.292209
2 1.06597 0.308749 0.235731
2 1.65196 0.224399 0.482911
2 1.74659 0.197121 0.377778
2 1.60174 0.0766579 0.302054
2 1.58396 0.167579 0.433375
2 1.50669 0.120435 0.327534
2 1.86061 0.336353 0.402868
2 1.92215 0.409106 0.328251
2 1.93466 0.309178 0.237964
2 1.05513 0.50465 0.177201
2 1.20064 0.265182 0.323813
2 1.33335 0.138793 0.301564
2 1.40628 0.079458 0.263009
2 1.30861 0.0656582 0.208835
2 1.92907 0.801956 0.243494
2 1.94549 0.714748 0.258247
2 1.87964 0.713143 0.393317
2 1.92803 0.611111 0.33982
2 1.83172 0.619066 0.519907
2 1.74327 0.632682 0.551604
2 1.79333 0.713346 0.428865
2 1.4249 0.164552 0.367475
2 1.50422 0.0539096 0.255457
2 1.74705 0.437096 0.628048
2 1.77344 0.527306 0.611861
2 1.82556 0.430565 0.508769
2 1.1868 0.757555 0.496592
2 1.09088 0.798758 0.259593
2 1.7461 0.788047 0.446322
2 1.79373 0.901559 0.288758
2 1.84218 0.804351 0.340526
2 1.87261 0.516809 0.508921
2 1.36085 0.668375 0.559018
2 1.26735 0.607322 0.608674
2 1.27283 0.714191 0.529731
2 1.67535 0.384187 0.589496
2 1.57131 0.356109 0.602142
2 1.58945 0.453016 0.685269
2 1.93228 0.169403 0.205739
2 1.28883 0.517979 0.721005
2 1.21178 0.517928 0.50893
2 1.47883 0.326007 0.542002
2 1.38587 0.30604 0.4634
2 1.40836 0.394645 0.557302
2 1.16566 0.0714659 0.189207
2 1.51603 0.824383 0.431233
2 1.4509 0.736357 0.537088
2 1.42264 0.834397 0.414444
2 1.55486 0.25805 0.509054
2 1.12637 0.512127 0.368385
2 1.34263 0.463535 0.597051
2 1.25933 0.443031 0.573163
2 1.67891 0.488175 0.639231
2 1.60177 0.560318 0.604119
2 1.69087 0.570842 0.608344
2 1.48524 0.8872 0.335497
2 1.50494 0.672108 0.586081
2 1.54662 0.745426 0.486478
2 1.63553 0.303707 0.614215
2 1.71927 0.708721 0.549053
2 1.16866 0.602764 0.441565
2 1.07646 0.606312 0.334598
2 1.57937 0.662606 0.680709
2 1.64816 0.748377 0.542906
2 1.66101 0.647939 0.614864
2 1.45188 0.241567 0.468782
2 1.35235 0.768358 0.488543
2 1.42862 0.481819 0.625954
2 1.36823 0.56045 0.766651
2 1.77336 0.35713 0.563241
2 1.51509 0.598619 0.582074
2 1.44009 0.630726 0.540502
2 1.20646 0.675383 0.518504
2 1.71538 0.289893 0.661635
2 1.80821 0.266959 0.439898
2 1.28968 0.289683 0.388926
2 1.26308 0.196673 0.321443
2 1.24342 0.105759 0.265643
2 1.35813 0.222884 0.384551
2 1.31949 0.375562 0.438864
2 1.89971 0.245178 0.28907
2 1.12806 0.692715 0.399956
2 1.70247 0.934579 0.321752
2 1.4971 0.419183 0.599521
2 1.50523 0.188261 0.427068
2 1.94572 0.50573 0.230173
2 1.23106 0.35644 0.376194
2 1.17423 0.427406 0.446354
2 1.84966 0.176727 0.399031
2 1.14291 0.333042 0.331804
2 1.45215 0.555832 0.610152
2 1.51225 0.510123 0.714855
1.11111 1 1 300
1.22222 1 1 11.46
1.33333 1 1 2.76641
1.44444 1 1 1.80404
1.55556 1 1 0.742306
1.66667 1 1 0.420258
1.77778 1 1 0.204872
1.88889 1 1 0.0941665
1.13971 1 0.668564 50.4649
1.2271 1 0.65022 15.4195
