VARIABLES= "X", "Y", "Z","P"
0.215597 -0.516992 -0.615272 0.0586472
0.401053 -0.507514 -0.564247 0.0682048
0.40849 -0.291974 -0.711508 0.154268
0.366356 -0.149885 -0.567104 0.306004
0.610278 -0.185814 -0.558341 0.307623
-0.671226 -0.389235 -0.388674 0.0131073
-0.714308 -0.238461 -0.332813 0.0152669
-0.768085 -0.338408 -0.106492 0.0142033
-0.795199 -0.0780552 -0.276929 0.0161428
-0.511142 -0.174634 -0.242782 0.0501211
-0.792145 -0.136515 -0.0564511 0.0240374
-0.610242 -0.297867 -0.170387 0.0353057
-0.574107 -0.415385 -0.0125643 0.0472523
-0.510349 -0.117613 -0.00217551 0.0735125
-0.291833 -0.303796 -0.0734558 0.110914
-0.644679 -0.546531 -0.162427 0.0177047
0.690628 -0.291181 0.424802 0.851604
-0.501195 -0.572343 -0.141183 0.0364719
-0.491263 -0.392391 -0.309399 0.0368985
0.278404 -0.232605 0.773604 0.577455
0.162149 -0.294922 0.590844 0.570044
0.0509987 -0.266934 0.724296 0.454455
0.103252 -0.11417 0.625988 0.445706
-0.15912 -0.495073 0.0200267 0.186008
-0.0212697 -0.460412 -0.187224 0.178681
-0.207864 -0.549469 0.224156 0.236345
0.261141 0.272575 0.775843 0.701956
-0.0723993 -0.712657 -0.455889 0.0276461
-0.39278 -0.522244 -0.56558 0.0164002
0.697223 0.25413 0.164592 0.767988
0.531373 0.214424 -0.00467878 0.622791
0.260075 0.381996 -0.421717 0.533532
0.397391 0.50671 -0.184221 0.665611
-0.0294511 0.185535 -0.381237 0.221977
0.305014 0.291896 -0.0538557 0.513257
0.331422 0.544119 -0.0185816 0.575545
0.392386 0.710755 -0.258822 0.797294
0.155566 0.810454 -0.175853 0.284234
0.437133 -0.48056 -0.164813 0.333959
0.169894 0.195595 0.576426 0.484268
0.0888789 0.411405 0.590214 0.374531
0.270012 0.406303 0.622228 0.682008
0.229407 0.419087 0.407015 0.576764
0.412247 0.438939 0.340893 0.705403
0.496255 0.364318 0.518122 0.830791
0.408089 0.500048 0.562717 0.845494
0.265731 0.631227 0.511212 0.674446
0.520528 0.548889 0.416367 0.872617
0.441768 0.607899 0.232171 0.761062
0.2695 0.705585 0.376685 0.659155
-0.756836 -0.396614 0.115984 0.0163426
-0.769877 0.400401 -0.140182 0.0123523
-0.519222 0.0549781 0.322414 0.068868
-0.283385 0.00831603 0.419505 0.152167
-0.516333 0.136872 0.0562456 0.0669625
0.476931 0.0738406 0.694232 0.836434
-0.430867 -0.603203 0.413656 0.0894325
-0.69693 -0.243399 0.163457 0.0304411
-0.143394 -0.798101 0.179073 0.258669
0.804144 -0.209592 -0.0823393 0.720693
0.760186 -0.307515 0.0770514 0.772101
0.225694 0.738592 -0.348165 0.525717
-0.371689 -0.275182 -0.69086 0.0220067
0.117673 -0.76203 -0.385423 0.0533356
-0.267706 -0.377538 -0.342567 0.0727008
-0.493001 -0.333671 -0.50442 0.0279173
-0.534406 -0.507244 -0.436593 0.0147996
-0.636651 -0.226465 -0.532997 0.0177774
0.246561 -0.056409 -0.672134 0.271346
0.111243 0.0538829 -0.640847 0.234235
0.185917 -0.285636 -0.616352 0.134699
0.116977 -0.245035 -0.816445 0.0663031
-0.105689 -0.0921468 -0.799688 0.0665828
-0.0914371 -0.320984 -0.727003 0.0408822
-0.186236 -0.0887592 -0.673606 0.0675248
-0.0675155 0.072541 -0.726356 0.118598
-0.266868 -0.41189 -0.594418 0.0390617
0.49325 -0.209133 -0.417347 0.262234
0.590042 -0.419907 -0.465128 0.0938523
-0.447442 0.648214 -0.347177 0.0235883
0.0758392 -0.46945 -0.432164 0.119588
0.102951 -0.572431 0.517307 0.547439
-0.0810517 -0.35801 0.373943 0.345391
0.254953 -0.465268 0.591442 0.791073
0.0555353 -0.298538 0.448419 0.47198
0.243923 -0.177121 0.501319 0.588774
-0.13676 0.590807 0.48883 0.126182
0.0195677 0.526215 0.342643 0.316334
0.0949526 0.55491 0.628733 0.343619
-0.143208 0.52525 0.665027 0.082642
0.0740809 0.431885 0.763124 0.265934
-0.133889 0.333757 0.566408 0.18386
0.645512 0.392562 -0.0635929 0.784849
0.72614 0.124778 -0.0940677 0.717974
0.503801 0.404537 0.0587273 0.693045
0.52122 -0.594641 -0.3219 0.111538
0.481825 -0.709639 -0.104295 0.471643
-0.436165 0.533042 -0.563709 0.0251321
-0.264476 0.34608 -0.395933 0.119893
-0.522448 0.468149 -0.41115 0.0342265
-0.31923 0.513126 -0.238514 0.0811573
-0.205851 0.548099 -0.422518 0.0974374
-0.284225 0.732211 -0.203982 0.0494338
-0.164374 0.516694 -0.177242 0.144371
-0.0850214 0.380993 -0.553013 0.159779
-0.156664 0.640266 -0.543198 0.0765656
0.0120965 0.495647 -0.346076 0.275021
0.284577 0.534413 -0.482802 0.664067
0.0942968 0.392232 -0.506667 0.339859
0.288275 0.45024 -0.663196 0.649746
0.172713 0.619497 -0.508059 0.445647
0.00162892 0.610668 -0.62209 0.177155
0.272962 0.251267 -0.600122 0.480216
0.0134447 0.211633 -0.54908 0.22385
0.77973 -0.238733 -0.272365 0.421599
-0.325502 -0.131146 -0.421435 0.0767211
-0.548544 0.160124 -0.171897 0.0570114
0.105932 0.806756 0.0762289 0.27727
0.307333 0.831475 0.0194288 0.562001
0.189157 0.564306 -0.248499 0.453025
-0.027399 0.719581 -0.390564 0.154119
0.0213273 0.629761 -0.074109 0.290444
0.302963 0.704108 -0.117873 0.566281
-0.404226 0.468702 -0.0918726 0.074766
-0.389562 0.257629 -0.674612 0.0351924
-0.391458 0.104734 -0.481806 0.0605887
-0.195605 0.183585 -0.554806 0.110048
-0.374286 0.239388 -0.36452 0.0764766
-0.629593 0.409849 -0.27489 0.0261454
-0.591538 0.229044 -0.404328 0.0287721
-0.539794 0.321581 -0.563242 0.02382
0.426241 0.115593 -0.186384 0.525281
0.309124 0.0836276 -0.0327893 0.475129
-0.595846 0.413883 -0.0492717 0.0395381
-0.556025 0.00448549 -0.411155 0.0356231
-0.758196 0.0909816 -0.3157 0.0156313
-0.755829 0.228552 -0.344443 0.013016
-0.766112 0.145849 -0.0935077 0.0198889
0.33128 0.193579 0.655668 0.705435
0.197541 0.0115756 0.416206 0.509878
-0.129615 0.103894 0.597516 0.225987
0.401765 0.0879876 0.433745 0.690575
0.135256 0.604595 0.148448 0.44791
-0.547577 0.123165 -0.586568 0.0179381
0.199167 -0.669438 0.437709 0.776729
-0.293262 -0.668677 0.482341 0.174677
-0.190086 0.110299 -0.351424 0.1384
0.258314 -0.755438 -0.225527 0.196257
-0.712846 0.486618 0.0855816 0.0152302
0.558901 0.0239969 -0.0678085 0.579778
0.47187 -0.159799 -0.096108 0.460523
0.656576 0.0756008 0.132691 0.696779
0.441911 -0.0678837 -0.274608 0.439375
0.409922 -0.284203 0.405575 0.708582
-0.212047 0.446993 0.308521 0.165263
0.379101 -0.102044 0.517167 0.69866
0.28201 0.0153443 0.622064 0.62045
-0.358343 -0.636617 0.0165503 0.0866192
-0.22304 -0.586966 -0.157698 0.09008
-0.48913 0.58442 -0.184372 0.0310232
0.715524 -0.0709207 -0.4677 0.624212
-0.255811 0.713061 -0.419698 0.0347008
-0.408734 -0.668514 -0.364187 0.0173173
-0.238126 -0.552131 -0.364092 0.0512814
-0.392916 0.260977 0.623853 0.0570362
-0.389864 0.133476 0.497094 0.0938024
-0.611385 0.285548 0.499422 0.0287342
0.653599 0.132574 0.536904 0.893399
-0.382078 0.0691184 0.662446 0.0710224
0.100866 -0.420969 0.740527 0.673783
-0.508615 0.135643 0.702448 0.0287719
0.555004 0.594343 0.0240564 0.81237
0.688235 0.522356 0.0948929 0.879631
0.558351 0.51604 -0.383956 0.84932
0.716021 0.400388 -0.272911 0.882622
-0.268455 -0.799605 -0.0201964 0.0698361
0.706695 0.241004 -0.359203 0.826302
0.613047 -0.00628406 0.321285 0.764935
-0.715047 0.185176 0.300643 0.0252558
-0.0730231 -0.470675 0.716372 0.594877
0.00732488 -0.459012 0.63878 0.49319
-0.231902 -0.502849 0.617176 0.27072
-0.79071 -0.00160236 0.314732 0.0150714
-0.00320861 -0.685971 -0.0574788 0.2042
0.29755 -0.756329 0.0515087 0.517794
-0.551439 -0.657209 -0.0673529 0.0258726
-0.4299 -0.509758 0.128263 0.0890558
-0.632285 -0.595065 0.0565911 0.025121
-0.0817152 -0.798988 -0.239391 0.0538138
-0.523227 -0.651734 0.164884 0.0356064
-0.1522 0.037387 -0.53595 0.124815
0.409655 -0.311207 0.674768 0.793058
0.142103 -0.850211 -0.142603 0.197061
0.000306354 -0.674623 -0.275382 0.0900289
0.799515 -0.100808 0.0863932 0.781014
0.811329 -0.0628679 0.272954 0.838851
-0.136191 -0.339149 0.72769 0.364421
0.592019 -0.403044 -0.0384632 0.57004
-0.667462 0.364292 0.205085 0.028956
-0.579417 0.442513 0.430139 0.0294752
-0.42356 0.418291 0.164636 0.075454
-0.648688 0.503917 0.271815 0.0208917
-0.512452 0.563105 0.114496 0.0401719
-0.515188 0.615343 0.297712 0.0310379
-0.675144 0.554649 -0.209009 0.0115659
-0.793307 0.290503 0.0318879 0.0155171
-0.299605 -0.0304236 -0.793775 0.0205532
-0.215458 0.114948 -0.78388 0.0500586
-0.535525 -0.138042 -0.689565 0.0114033
-0.353672 0.627153 0.421109 0.044962
-0.335288 0.466972 0.35105 0.0877033
-0.405272 0.485758 0.566845 0.0448542
-0.257698 0.398148 0.609341 0.0801771
0.264284 0.0432242 -0.501528 0.363616
-0.795973 -0.0572412 0.134293 0.01902
-0.712495 -0.0662485 -0.456027 0.0106471
-0.429394 -0.0161858 -0.653889 0.0297015
0.639527 -0.523815 -0.225373 0.292393
0.45976 -0.722058 0.0766567 0.747471
0.0679454 0.708 0.463112 0.267071
0.375243 -0.286998 -0.240055 0.318677
0.610244 -0.307761 -0.287028 0.312544
0.587824 0.627858 0.189665 0.892541
0.0410457 0.271441 0.74849 0.284871
-0.060222 0.0804239 0.784558 0.200182
-0.0948147 0.30658 0.785579 0.105682
-0.303173 0.220884 0.779686 0.0543151
-0.166078 -0.124649 0.79584 0.212118
0.0977237 -0.0944305 0.798276 0.353307
-0.115568 -0.139983 0.653655 0.282313
0.123781 0.13361 0.804978 0.435039
-0.0344751 -0.551592 -0.565036 0.0452708
0.0841203 -0.46764 -0.730792 0.0333789
-0.170007 -0.530017 -0.664773 0.0155266
0.669566 0.29004 0.437262 0.881082
0.637106 0.470371 0.277217 0.872264
0.795108 0.0885528 0.275182 0.872791
0.400144 -0.439085 0.429777 0.780922
0.274526 -0.779807 0.259974 0.79591
0.447046 -0.596853 0.439483 0.891418
0.488861 0.27701 0.661039 0.876796
-0.0892312 0.46722 -0.706866 0.0760891
-0.685889 0.107575 -0.51149 0.0109782
-0.381948 -0.729633 0.240673 0.119278
0.618756 0.0662382 -0.262655 0.63242
-0.689481 -0.0715613 0.490587 0.0211584
-0.36401 -0.546767 -0.219884 0.047093
-0.470648 0.702856 -0.013442 0.0193834
-0.127102 0.664544 0.0090018 0.137955
-0.0514051 -0.26823 0.536042 0.380724
-0.385598 -0.752959 -0.129967 0.0341639
-0.180175 -0.121804 0.470289 0.24474
0.635149 0.0139777 -0.456713 0.644225
